DATAHORA,ALTURA,INFLEXAO,t,T,n1,n2,h1,h2
2006-06-30 19:38:00,1.7,True,0,0,,,,
2006-07-01 00:00:00,0.8939534981761723,False,262,365,1.7,0.7,0.19395349817617236,0.8060465018238276
2006-07-01 00:10:00,0.8616780963299802,False,272,365,1.7,0.7,0.1616780963299802,0.8383219036700198
2006-07-01 00:20:00,0.8316113383219754,False,282,365,1.7,0.7,0.13161133832197547,0.8683886616780245
2006-07-01 00:30:00,0.8039999999999998,False,292,365,1.7,0.7,0.10399999999999987,0.8960000000000001
2006-07-01 00:40:00,0.7790908572118957,False,302,365,1.7,0.7,0.0790908572118958,0.9209091427881042
2006-07-01 00:50:00,0.7571306858055049,False,312,365,1.7,0.7,0.057130685805504955,0.942869314194495
2006-07-01 01:00:00,0.7383662616286688,False,322,365,1.7,0.7,0.03836626162866885,0.9616337383713311
2006-07-01 01:10:00,0.7230443605292314,False,332,365,1.7,0.7,0.023044360529231422,0.9769556394707686
2006-07-01 01:20:00,0.7114117583550332,False,342,365,1.7,0.7,0.011411758355033275,0.9885882416449667
2006-07-01 01:30:00,0.7037152309539172,False,352,365,1.7,0.7,0.003715230953917237,0.9962847690460828
2006-07-01 01:40:00,0.700201554173725,False,362,365,1.7,0.7,0.00020155417372502704,0.999798445826275
2006-07-01 01:43:00,0.7,True,0,0,,,,
2006-07-01 01:50:00,0.7010214690271006,False,7,377,0.7,1.7,0.9989785309728993,0.0010214690271006278
2006-07-01 02:00:00,0.7059167118569928,False,17,377,0.7,1.7,0.9940832881430071,0.0059167118569929174
2006-07-01 02:10:00,0.7146527513868158,False,27,377,0.7,1.7,0.985347248613184,0.014652751386815951
2006-07-01 02:20:00,0.7270056344562238,False,37,377,0.7,1.7,0.972994365543776,0.027005634456223903
2006-07-01 02:30:00,0.7427514079048709,False,47,377,0.7,1.7,0.957248592095129,0.04275140790487096
2006-07-01 02:40:00,0.7616661185724113,False,57,377,0.7,1.7,0.9383338814275887,0.061666118572411305
2006-07-01 02:50:00,0.783525813298499,False,67,377,0.7,1.7,0.9164741867015008,0.08352581329849915
2006-07-01 03:00:00,0.8081065389227886,False,77,377,0.7,1.7,0.8918934610772113,0.10810653892278867
2006-07-01 03:10:00,0.835184342284934,False,87,377,0.7,1.7,0.864815657715066,0.13518434228493403
2006-07-01 03:20:00,0.8645352702245893,False,97,377,0.7,1.7,0.8354647297754106,0.16453527022458936
2006-07-01 03:30:00,0.8959353695814087,False,107,377,0.7,1.7,0.804064630418591,0.19593536958140895
2006-07-01 03:40:00,0.929160687195047,False,117,377,0.7,1.7,0.7708393128049531,0.22916068719504695
2006-07-01 03:50:00,0.9639872699051575,False,127,377,0.7,1.7,0.7360127300948425,0.26398726990515753
2006-07-01 04:00:00,1.0001911645513948,False,137,377,0.7,1.7,0.6998088354486051,0.30019116455139483
